message,label
"Congratulations! You've won a $1000 gift card. Click here to claim now!",high
"Your bank account has been suspended. Verify immediately at secure-bank-login.com",high
"You have a pending lottery prize of $500,000. Send $50 processing fee to claim.",high
"URGENT: Your Netflix subscription will expire. Update payment details now.",high
"Dear customer, your Amazon order is on hold. Confirm your address here.",high
"You've been selected for a FREE iPhone 15. Limited time offer, act now!",high
"Your PayPal account is limited. Click link to restore access immediately.",high
"IRS Notice: You owe back taxes. Pay now or face arrest within 24 hours.",high
"Win a free vacation! You're our lucky winner today. Call now to claim.",high
"Your social security number has been suspended due to suspicious activity.",high
"ALERT: Virus detected on your computer. Call Microsoft support immediately.",high
"Nigerian prince needs your help transferring $10 million. Share your account.",high
"You have unclaimed insurance money. Send personal details to process claim.",high
"Cheap Rolex watches, 90% off! Authentic luxury at unbeatable prices.",high
"Meet singles in your area tonight! Click here for free access.",high
"Your package could not be delivered. Pay $2 fee to reschedule delivery.",high
"Earn $5000/week working from home! No experience needed. Apply now.",high
"Your Google account will be deleted. Verify now to keep your account.",high
"Exclusive investment opportunity! 300% returns guaranteed. Join today.",high
"Free government grant money available! You qualify for $8,500. Apply now.",high
"Hi, I wanted to check in and see how you're doing this week.",low
"Your order has been shipped and will arrive by Thursday.",low
"The meeting has been rescheduled to 3 PM tomorrow.",low
"Please find attached the report you requested last week.",low
"Thanks for your payment! Your subscription is active until next year.",low
"Can we catch up over coffee sometime this week?",low
"Your appointment is confirmed for Monday at 10 AM.",low
"The project deadline has been extended by two weeks.",low
"Happy birthday! Hope you have a wonderful day.",low
"Your flight is on time and departs from Gate B12.",low
"Here is the summary of today's team meeting.",low
"Please review and sign the attached contract at your convenience.",low
"Your test results are ready. Please log into the patient portal.",low
"Reminder: Your car service appointment is tomorrow at 9 AM.",low
"The library book you reserved is now available for pickup.",low
"I'll send you the presentation slides after the call.",low
"Your electricity bill for this month is $87. Due date: June 15.",low
"The conference registration confirmation is attached.",low
"Your application has been received and is under review.",low
"We're excited to welcome you to our team starting Monday.",low
"Click here NOW to collect your prize before it expires!",high
"Verify your identity or your account will be permanently closed.",high
"Special offer just for you: 95% off premium membership today only!",high
"Your computer is infected. Call this number for immediate support.",high
"You have been pre-approved for a $50,000 loan with no credit check.",high
"Please let me know if you need any additional information from me.",low
"The invoice for last month's services is attached for your records.",low
"We appreciate your feedback and will use it to improve our services.",low
"Your password was successfully changed. If this wasn't you, contact us.",low
"Lunch is at noon in the main conference room. See you there!",low
